"Step","debug/lpl_local - _step","debug/lpl_local - _step__MIN","debug/lpl_local - _step__MAX","debug/lpl_local - Performance/linear_readout_acc","debug/lpl_local - Performance/linear_readout_acc__MIN","debug/lpl_local - Performance/linear_readout_acc__MAX"
"12719","896","896","896","0.5416","0.5416","0.5416"
"12798","901","901","901","0.5471","0.5471","0.5471"
"12877","907","907","907","0.5412","0.5412","0.5412"
"12956","913","913","913","0.539","0.539","0.539"
"13035","918","918","918","0.5437","0.5437","0.5437"
"13114","924","924","924","0.5411","0.5411","0.5411"
"13193","929","929","929","0.5385","0.5385","0.5385"
"13272","935","935","935","0.5367","0.5367","0.5367"
"13351","941","941","941","0.5405","0.5405","0.5405"
"13430","946","946","946","0.5413","0.5413","0.5413"
"13509","952","952","952","0.5377","0.5377","0.5377"
"13588","957","957","957","0.5478","0.5478","0.5478"
"13667","963","963","963","0.5417","0.5417","0.5417"
"13746","968","968","968","0.5448","0.5448","0.5448"
"13825","974","974","974","0.5399","0.5399","0.5399"
"13904","980","980","980","0.5398","0.5398","0.5398"
"13983","985","985","985","0.5412","0.5412","0.5412"
"14062","991","991","991","0.5311","0.5311","0.5311"
"14141","996","996","996","0.55","0.55","0.55"
"14220","1002","1002","1002","0.5486","0.5486","0.5486"
"14299","1007","1007","1007","0.5479","0.5479","0.5479"
"14378","1013","1013","1013","0.5445","0.5445","0.5445"
"14457","1019","1019","1019","0.5472","0.5472","0.5472"
"14536","1024","1024","1024","0.5374","0.5374","0.5374"
"14615","1030","1030","1030","0.5469","0.5469","0.5469"
"14694","1035","1035","1035","0.5476","0.5476","0.5476"
"14773","1041","1041","1041","0.5412","0.5412","0.5412"
"14852","1047","1047","1047","0.5494","0.5494","0.5494"
"14931","1052","1052","1052","0.5465","0.5465","0.5465"
"15010","1058","1058","1058","0.5468","0.5468","0.5468"
"15089","1063","1063","1063","0.5438","0.5438","0.5438"
"15168","1069","1069","1069","0.5447","0.5447","0.5447"
"15247","1074","1074","1074","0.5523","0.5523","0.5523"
"15326","1080","1080","1080","0.5526","0.5526","0.5526"
"15405","1086","1086","1086","0.5518","0.5518","0.5518"
"15484","1091","1091","1091","0.5552","0.5552","0.5552"
"15563","1097","1097","1097","0.5504","0.5504","0.5504"
"15642","1102","1102","1102","0.5581","0.5581","0.5581"
"15721","1108","1108","1108","0.5459","0.5459","0.5459"
"15800","1114","1114","1114","0.5479","0.5479","0.5479"
"15879","1119","1119","1119","0.5502","0.5502","0.5502"
"15958","1125","1125","1125","0.5521","0.5521","0.5521"
"16037","1130","1130","1130","0.5488","0.5488","0.5488"
"16116","1136","1136","1136","0.5473","0.5473","0.5473"
"16195","1141","1141","1141","0.5546","0.5546","0.5546"
"16274","1147","1147","1147","0.5578","0.5578","0.5578"
"16353","1153","1153","1153","0.5547","0.5547","0.5547"
"16432","1158","1158","1158","0.5551","0.5551","0.5551"
"16511","1164","1164","1164","0.555","0.555","0.555"
"16590","1169","1169","1169","0.5483","0.5483","0.5483"
"16669","1175","1175","1175","0.5597","0.5597","0.5597"
"16748","1180","1180","1180","0.5553","0.5553","0.5553"
"16827","1186","1186","1186","0.5583","0.5583","0.5583"
"16906","1192","1192","1192","0.5585","0.5585","0.5585"
"16985","1197","1197","1197","0.5618","0.5618","0.5618"
"17064","1203","1203","1203","0.5581","0.5581","0.5581"
"17143","1208","1208","1208","0.5582","0.5582","0.5582"
"17222","1214","1214","1214","0.5541","0.5541","0.5541"
"17301","1220","1220","1220","0.5527","0.5527","0.5527"
"17380","1225","1225","1225","0.5548","0.5548","0.5548"
"17459","1231","1231","1231","0.5547","0.5547","0.5547"
"17538","1236","1236","1236","0.5615","0.5615","0.5615"
"17617","1242","1242","1242","0.5619","0.5619","0.5619"
"17696","1247","1247","1247","0.5625","0.5625","0.5625"
