"Step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - _step__MAX","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MIN","debug/lpl_local_top-down_errCorr_a2.0_1T - Performance/linear_readout_acc__MAX"
"12956","913","913","913","0.5641","0.5641","0.5641"
"13035","918","918","918","0.5625","0.5625","0.5625"
"13114","924","924","924","0.5644","0.5644","0.5644"
"13193","929","929","929","0.562","0.562","0.562"
"13272","935","935","935","0.5621","0.5621","0.5621"
"13351","941","941","941","0.5686","0.5686","0.5686"
"13430","946","946","946","0.5613","0.5613","0.5613"
"13509","952","952","952","0.5678","0.5678","0.5678"
"13588","957","957","957","0.5712","0.5712","0.5712"
"13667","963","963","963","0.5667","0.5667","0.5667"
"13746","968","968","968","0.5623","0.5623","0.5623"
"13825","974","974","974","0.5674","0.5674","0.5674"
"13904","980","980","980","0.5734","0.5734","0.5734"
"13983","985","985","985","0.5616","0.5616","0.5616"
"14062","991","991","991","0.5664","0.5664","0.5664"
"14141","996","996","996","0.5635","0.5635","0.5635"
"14220","1002","1002","1002","0.5673","0.5673","0.5673"
"14299","1007","1007","1007","0.5674","0.5674","0.5674"
"14378","1013","1013","1013","0.5631","0.5631","0.5631"
"14457","1019","1019","1019","0.5711","0.5711","0.5711"
"14536","1024","1024","1024","0.5666","0.5666","0.5666"
"14615","1030","1030","1030","0.5593","0.5593","0.5593"
"14694","1035","1035","1035","0.5678","0.5678","0.5678"
"14773","1041","1041","1041","0.5648","0.5648","0.5648"
"14852","1047","1047","1047","0.5747","0.5747","0.5747"
"14931","1052","1052","1052","0.5766","0.5766","0.5766"
"15010","1058","1058","1058","0.5677","0.5677","0.5677"
"15089","1063","1063","1063","0.5753","0.5753","0.5753"
"15168","1069","1069","1069","0.571","0.571","0.571"
"15247","1074","1074","1074","0.5723","0.5723","0.5723"
"15326","1080","1080","1080","0.5685","0.5685","0.5685"
"15405","1086","1086","1086","0.5685","0.5685","0.5685"
"15484","1091","1091","1091","0.5708","0.5708","0.5708"
"15563","1097","1097","1097","0.5703","0.5703","0.5703"
"15642","1102","1102","1102","0.572","0.572","0.572"
"15721","1108","1108","1108","0.5733","0.5733","0.5733"
"15800","1114","1114","1114","0.5748","0.5748","0.5748"
"15879","1119","1119","1119","0.5737","0.5737","0.5737"
"15958","1125","1125","1125","0.5709","0.5709","0.5709"
"16037","1130","1130","1130","0.5735","0.5735","0.5735"
"16116","1136","1136","1136","0.5642","0.5642","0.5642"
"16195","1141","1141","1141","0.5731","0.5731","0.5731"
"16274","1147","1147","1147","0.574","0.574","0.574"
"16353","1153","1153","1153","0.5732","0.5732","0.5732"
"16432","1158","1158","1158","0.5743","0.5743","0.5743"
"16511","1164","1164","1164","0.5722","0.5722","0.5722"
"16590","1169","1169","1169","0.5768","0.5768","0.5768"
"16669","1175","1175","1175","0.5736","0.5736","0.5736"
"16748","1180","1180","1180","0.5732","0.5732","0.5732"
"16827","1186","1186","1186","0.5771","0.5771","0.5771"
"16906","1192","1192","1192","0.5777","0.5777","0.5777"
"16985","1197","1197","1197","0.5764","0.5764","0.5764"
"17064","1203","1203","1203","0.5761","0.5761","0.5761"
"17143","1208","1208","1208","0.5739","0.5739","0.5739"
"17222","1214","1214","1214","0.5749","0.5749","0.5749"
"17301","1220","1220","1220","0.5744","0.5744","0.5744"
"17380","1225","1225","1225","0.5752","0.5752","0.5752"
"17459","1231","1231","1231","0.5689","0.5689","0.5689"
"17538","1236","1236","1236","0.5753","0.5753","0.5753"
"17617","1242","1242","1242","0.5748","0.5748","0.5748"
"17696","1247","1247","1247","0.5823","0.5823","0.5823"
"17775","1253","1253","1253","0.5744","0.5744","0.5744"
"17854","1259","1259","1259","0.5756","0.5756","0.5756"
"17933","1264","1264","1264","0.5704","0.5704","0.5704"
"18012","1270","1270","1270","0.5791","0.5791","0.5791"
"18091","1275","1275","1275","0.5824","0.5824","0.5824"
"18170","1281","1281","1281","0.5797","0.5797","0.5797"
"18249","1286","1286","1286","0.5784","0.5784","0.5784"
"18328","1292","1292","1292","0.5834","0.5834","0.5834"
"18407","1298","1298","1298","0.5736","0.5736","0.5736"
"18486","1303","1303","1303","0.5672","0.5672","0.5672"
"18565","1309","1309","1309","0.5758","0.5758","0.5758"
"18644","1314","1314","1314","0.576","0.576","0.576"
"18723","1320","1320","1320","0.5692","0.5692","0.5692"
"18802","1326","1326","1326","0.5768","0.5768","0.5768"
"18881","1331","1331","1331","0.5803","0.5803","0.5803"
"18960","1337","1337","1337","0.5811","0.5811","0.5811"
"19039","1342","1342","1342","0.5801","0.5801","0.5801"
"19118","1348","1348","1348","0.5813","0.5813","0.5813"
"19197","1353","1353","1353","0.5782","0.5782","0.5782"
"19276","1359","1359","1359","0.5792","0.5792","0.5792"
"19355","1365","1365","1365","0.5803","0.5803","0.5803"
"19434","1370","1370","1370","0.5753","0.5753","0.5753"
"19513","1376","1376","1376","0.5784","0.5784","0.5784"
"19592","1381","1381","1381","0.5793","0.5793","0.5793"
"19671","1387","1387","1387","0.5784","0.5784","0.5784"
"19750","1393","1393","1393","0.5789","0.5789","0.5789"
"19829","1398","1398","1398","0.5799","0.5799","0.5799"
"19908","1404","1404","1404","0.5795","0.5795","0.5795"
"19987","1409","1409","1409","0.584","0.584","0.584"
"20066","1415","1415","1415","0.583","0.583","0.583"
"20145","1420","1420","1420","0.5836","0.5836","0.5836"
"20224","1426","1426","1426","0.5852","0.5852","0.5852"
"20303","1432","1432","1432","0.5839","0.5839","0.5839"
"20382","1437","1437","1437","0.5859","0.5859","0.5859"
